//Want13 - Scripts
"!SS_SCRIP16" "wanted/nagatow/niscript0.wav"
"!SS_SCRIP17" "wanted/nagatow/niscript1.wav"
"!SS_SCRIP18" "wanted/nagatow/niscript2.wav"
"!SS_SCRIP19" "wanted/nagatow/nbscript0.wav"
"!SS_SCRIP20" "wanted/nagatow/nbscript1.wav"

// When USED and told to follow
"!SC_OK0" "wanted/nagatow/niok.wav"
"!SC_OK1" "wanted/nagatow/nbifollow.wav"
"!SC_OK2" "wanted/nagatow/nbok.wav"
"!SC_OK3" "wanted/nagatow/nbifollow.wav"
"!SC_OK4" "wanted/nagatow/nbok.wav"
"!SC_OK5" "wanted/nagatow/nbifollow.wav"
"!SC_OK6" "wanted/nagatow/nbok.wav"
"!SC_OK7" "wanted/nagatow/nbifollow.wav"
"!SC_OK8" "wanted/nagatow/nbok.wav"

//Told to stay
"!SC_WAIT0" "wanted/nagatow/nbiwaithere.wav"
"!SC_WAIT1" "wanted/nagatow/nbokiwait.wav"
"!SC_WAIT2" "wanted/nagatow/nbiwaithere.wav"
"!SC_WAIT3" "wanted/nagatow/nbokiwait.wav"
"!SC_WAIT4" "wanted/nagatow/nbiwaithere.wav"
"!SC_WAIT5" "wanted/nagatow/nbokiwait.wav"
"!SC_WAIT6" "wanted/nagatow/nbiwaithere.wav"

//Cant follow player
"!SC_STOP0" "wanted/nagatow/nbinotgo.wav"
"!SC_STOP1" "wanted/nagatow/nbtooshort.wav"
"!SC_STOP2" "wanted/nagatow/nbinotgo.wav"
"!SC_STOP3" "wanted/nagatow/nbtooshort.wav"

//Player is staring
"!SC_STARE0" "wanted/nagatow/nbtotempole.wav"
"!SC_STARE1" "wanted/nagatow/nbtotempole.wav"
"!SC_STARE2" "wanted/nagatow/nbtotempole.wav"

//post masacre
"!SC_HELLO0" "wanted/nagatow/nbpaleface.wav"
"!SC_HELLO1" "wanted/nagatow/nbhellohat.wav"
"!SC_HELLO2" "wanted/nagatow/nbpaleface.wav"
"!SC_HELLO3" "wanted/nagatow/nbhellohat.wav"
"!SC_HELLO4" "wanted/nagatow/nbpaleface.wav"
"!SC_HELLO5" "wanted/nagatow/nbhellohat.wav"
"!SC_HELLO6" "wanted/nagatow/nbpaleface.wav"
"!SC_HELLO7" "wanted/nagatow/nbhellohat.wav"
"!SC_HELLO8" "wanted/nagatow/nbpaleface.wav"

//Generic Answers
"!SC_ANSWER0" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER1" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER2" "wanted/nagatow/nbummerrr.wav"
"!SC_ANSWER3" "wanted/nagatow/nbno.wav"
"!SC_ANSWER4" "wanted/nagatow/nbsoundpale.wav"
"!SC_ANSWER5" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER6" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER7" "wanted/nagatow/nbummerrr.wav"
"!SC_ANSWER8" "wanted/nagatow/nbno.wav"
"!SC_ANSWER9" "wanted/nagatow/nbsoundpale.wav"
"!SC_ANSWER10" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER11" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER12" "wanted/nagatow/nbummerrr.wav"
